,date,tic,anomaly
0,2015/11/12,BH,0.1436921
1,2015/11/13,BH,0.03892499
2,2015/11/16,BH,0.1379675
3,2015/11/17,BH,0.36587
4,2015/11/18,BH,0.34761032
5,2015/11/19,BH,0.22996134
6,2015/11/20,BH,0.1854506
7,2015/11/23,BH,0.48043653
8,2015/11/24,BH,0.24443331
9,2015/11/25,BH,0.053602975
10,2015/11/27,BH,0.15063447
11,2015/11/30,BH,0.16481099
12,2015/12/1,BH,0.1084142
13,2015/12/2,BH,0.27560475
14,2015/12/3,BH,0.0032102503
15,2015/12/4,BH,0.308104
16,2015/12/7,BH,0.04796729
17,2015/12/8,BH,0.21459891
18,2015/12/9,BH,0.32336238
19,2015/12/10,BH,0.033658147
20,2015/12/11,BH,0.2129114
21,2015/12/14,BH,0.18489239
22,2015/12/15,BH,0.020852622
23,2015/12/16,BH,0.32077092
24,2015/12/17,BH,0.06842753
25,2015/12/18,BH,0.23825464
26,2015/12/21,BH,0.23837362
27,2015/12/22,BH,0.42820743
28,2015/12/23,BH,0.0016262033
29,2015/12/24,BH,0.18005522
30,2015/12/28,BH,0.29997748
31,2015/12/29,BH,0.17092228
32,2015/12/30,BH,0.17180417
33,2015/12/31,BH,0.042257033
34,2016/1/4,BH,0.025915425
35,2016/1/5,BH,0.15667488
36,2016/1/6,BH,0.10216588
37,2016/1/7,BH,0.061915483
38,2016/1/8,BH,0.03933477
39,2016/1/11,BH,0.23565547
40,2016/1/12,BH,0.08598987
41,2016/1/13,BH,0.23250198
42,2016/1/14,BH,0.47453007
43,2016/1/15,BH,0.17928316
44,2016/1/19,BH,0.28291872
45,2016/1/20,BH,0.005484401
46,2016/1/21,BH,0.17765106
47,2016/1/22,BH,0.13556941
48,2016/1/25,BH,0.30945545
49,2016/1/26,BH,0.19369952
50,2016/1/27,BH,0.1329611
51,2016/1/28,BH,0.31103522
52,2016/1/29,BH,0.25890583
53,2016/2/1,BH,0.4769986
54,2016/2/2,BH,0.39940104
55,2016/2/3,BH,0.42561826
56,2016/2/4,BH,0.34151077
57,2016/2/5,BH,0.38464385
58,2016/2/8,BH,0.21905388
59,2016/2/9,BH,0.009736258
60,2016/2/10,BH,0.28041282
61,2016/2/11,BH,0.052133713
62,2016/2/12,BH,0.24328183
63,2016/2/16,BH,0.24609207
64,2016/2/17,BH,0.3480538
65,2016/2/18,BH,0.33967826
66,2016/2/19,BH,0.021573199
67,2016/2/22,BH,0.042101506
68,2016/2/23,BH,0.02070519
69,2016/2/24,BH,0.37694833
70,2016/2/25,BH,0.10751269
71,2016/2/26,BH,0.029985161
72,2016/2/29,BH,0.069951884
