,date,tic,anomaly
0,2015/11/12,CIX,0.04369832
1,2015/11/13,CIX,0.07855052
2,2015/11/16,CIX,0.040234365
3,2015/11/17,CIX,0.00093314785
4,2015/11/18,CIX,0.05045317
5,2015/11/19,CIX,0.015349456
6,2015/11/20,CIX,0.027563723
7,2015/11/23,CIX,0.03238211
8,2015/11/24,CIX,0.12867817
9,2015/11/25,CIX,0.0459632
10,2015/11/27,CIX,0.04863778
11,2015/11/30,CIX,0.08794909
12,2015/12/1,CIX,0.11327681
13,2015/12/2,CIX,0.0852572
14,2015/12/3,CIX,0.020788565
15,2015/12/4,CIX,0.08828887
16,2015/12/7,CIX,0.0307951
17,2015/12/8,CIX,0.000361952
18,2015/12/9,CIX,0.004164036
19,2015/12/10,CIX,0.056841135
20,2015/12/11,CIX,0.023056118
21,2015/12/14,CIX,0.06616244
22,2015/12/15,CIX,0.040584892
23,2015/12/16,CIX,0.05646888
24,2015/12/17,CIX,0.0485226
25,2015/12/18,CIX,0.02440222
26,2015/12/21,CIX,0.017197939
27,2015/12/22,CIX,0.006068113
28,2015/12/23,CIX,0.033195216
29,2015/12/24,CIX,0.08586909
30,2015/12/28,CIX,0.07412098
31,2015/12/29,CIX,0.01790598
32,2015/12/30,CIX,0.06830099
33,2015/12/31,CIX,0.07191398
34,2016/1/4,CIX,0.011228762
35,2016/1/5,CIX,0.02266143
36,2016/1/6,CIX,0.03728046
37,2016/1/7,CIX,0.016104992
38,2016/1/8,CIX,0.09037703
39,2016/1/11,CIX,0.051761575
40,2016/1/12,CIX,0.09086884
41,2016/1/13,CIX,0.06509553
42,2016/1/14,CIX,0.04419253
43,2016/1/15,CIX,0.03585694
44,2016/1/19,CIX,0.019160157
45,2016/1/20,CIX,0.010835701
46,2016/1/21,CIX,0.030497406
47,2016/1/22,CIX,0.07541803
48,2016/1/25,CIX,0.10936402
49,2016/1/26,CIX,0.03804018
50,2016/1/27,CIX,0.028739711
51,2016/1/28,CIX,0.045977563
52,2016/1/29,CIX,0.052940663
