,date,tic,anomaly
0,2015/11/12,FDBC,0.15162542
1,2015/11/13,FDBC,0.075866014
2,2015/11/16,FDBC,0.079493165
3,2015/11/17,FDBC,0.50034875
4,2015/11/18,FDBC,0.0800949
5,2015/11/19,FDBC,0.15901539
6,2015/11/20,FDBC,0.024854742
7,2015/11/23,FDBC,0.18843594
8,2015/11/24,FDBC,0.01639779
9,2015/11/25,FDBC,0.40552977
10,2015/11/27,FDBC,0.0017039374
11,2015/11/30,FDBC,0.05527942
12,2015/12/1,FDBC,0.2704378
13,2015/12/2,FDBC,0.08554032
14,2015/12/3,FDBC,0.355455
15,2015/12/4,FDBC,0.024680292
16,2015/12/7,FDBC,0.70489025
17,2015/12/8,FDBC,0.3321172
18,2015/12/9,FDBC,0.6543081
19,2015/12/10,FDBC,0.11497368
20,2015/12/11,FDBC,0.23918596
21,2015/12/14,FDBC,0.11474895
22,2015/12/15,FDBC,0.5106656
23,2015/12/16,FDBC,0.5503756
24,2015/12/17,FDBC,0.17657836
25,2015/12/18,FDBC,0.0063270302
26,2015/12/21,FDBC,0.14217323
27,2015/12/22,FDBC,0.40268698
28,2015/12/23,FDBC,0.044185445
29,2015/12/24,FDBC,0.26880193
30,2015/12/28,FDBC,0.4680509
31,2015/12/29,FDBC,0.09203765
32,2015/12/30,FDBC,0.12868641
33,2015/12/31,FDBC,0.12221565
34,2016/1/4,FDBC,0.30256394
35,2016/1/5,FDBC,0.16771938
36,2016/1/6,FDBC,0.51360667
37,2016/1/7,FDBC,0.15870528
38,2016/1/8,FDBC,0.03654322
39,2016/1/11,FDBC,0.047133062
40,2016/1/12,FDBC,0.1963877
41,2016/1/13,FDBC,0.23367675
42,2016/1/14,FDBC,0.048833676
43,2016/1/15,FDBC,0.233089
44,2016/1/19,FDBC,0.4472135
45,2016/1/20,FDBC,0.38286197
46,2016/1/21,FDBC,0.254547
47,2016/1/22,FDBC,0.46777827
48,2016/1/25,FDBC,0.056235276
49,2016/1/26,FDBC,0.0768361
50,2016/1/27,FDBC,0.13904548
51,2016/1/28,FDBC,0.050335653
52,2016/1/29,FDBC,0.37968028
53,2016/2/1,FDBC,0.42200795
54,2016/2/2,FDBC,0.65355086
55,2016/2/3,FDBC,0.34286
56,2016/2/4,FDBC,0.11972366
57,2016/2/5,FDBC,0.19755489
58,2016/2/8,FDBC,0.16015269
59,2016/2/9,FDBC,0.6285133
60,2016/2/10,FDBC,0.4140752
61,2016/2/11,FDBC,0.22426726
62,2016/2/12,FDBC,0.33925635
63,2016/2/16,FDBC,0.39318284
64,2016/2/17,FDBC,0.16919573
65,2016/2/18,FDBC,0.12619326
66,2016/2/19,FDBC,0.05537631
67,2016/2/22,FDBC,0.31871018
68,2016/2/23,FDBC,0.5117339
69,2016/2/24,FDBC,0.19011746
70,2016/2/25,FDBC,0.47827002
71,2016/2/26,FDBC,0.10789038
72,2016/2/29,FDBC,0.20319277
73,2016/3/1,FDBC,0.08057188
74,2016/3/2,FDBC,0.017214417
75,2016/3/3,FDBC,0.039877333
76,2016/3/4,FDBC,0.39949661
77,2016/3/7,FDBC,0.08256981
78,2016/3/8,FDBC,0.50591904
79,2016/3/9,FDBC,0.30506256
80,2016/3/10,FDBC,0.36786786
81,2016/3/11,FDBC,0.030054312
82,2016/3/14,FDBC,0.2551415
83,2016/3/15,FDBC,0.24399999
84,2016/3/16,FDBC,0.735809
85,2016/3/17,FDBC,0.48367795
86,2016/3/18,FDBC,0.41383338
87,2016/3/21,FDBC,0.6317749
88,2016/3/22,FDBC,0.31929687
89,2016/3/23,FDBC,0.26899216
90,2016/3/24,FDBC,0.31429854
91,2016/3/28,FDBC,0.18586569
92,2016/3/29,FDBC,0.051578857
93,2016/3/30,FDBC,0.2635643
94,2016/3/31,FDBC,0.37954128
95,2016/4/1,FDBC,0.3994015
96,2016/4/4,FDBC,0.2197177
97,2016/4/5,FDBC,0.15031947
98,2016/4/6,FDBC,0.53948796
99,2016/4/7,FDBC,0.23110826
100,2016/4/8,FDBC,0.25979176
101,2016/4/11,FDBC,0.40650246
102,2016/4/12,FDBC,0.24959838
103,2016/4/13,FDBC,0.38510552
104,2016/4/14,FDBC,0.049962796
105,2016/4/15,FDBC,0.15740609
