,date,tic,anomaly
0,2015/11/12,NATH,0.3427661
1,2015/11/13,NATH,0.047302064
2,2015/11/16,NATH,0.3642658
3,2015/11/17,NATH,0.1683677
4,2015/11/18,NATH,0.060657788
5,2015/11/19,NATH,0.28230345
6,2015/11/20,NATH,0.069395594
7,2015/11/23,NATH,0.41715288
8,2015/11/24,NATH,0.044153437
9,2015/11/25,NATH,0.3664299
10,2015/11/27,NATH,0.19610581
11,2015/11/30,NATH,0.4470654
12,2015/12/1,NATH,0.52478
13,2015/12/2,NATH,0.024524162
14,2015/12/3,NATH,0.15215035
15,2015/12/4,NATH,0.30634668
16,2015/12/7,NATH,0.3431417
17,2015/12/8,NATH,0.18441948
18,2015/12/9,NATH,0.0750347
19,2015/12/10,NATH,0.3936977
20,2015/12/11,NATH,0.23024262
21,2015/12/14,NATH,0.09919906
22,2015/12/15,NATH,0.19395842
23,2015/12/16,NATH,0.38770303
24,2015/12/17,NATH,0.09211597
25,2015/12/18,NATH,0.19387963
26,2015/12/21,NATH,0.016625261
27,2015/12/22,NATH,0.21058975
28,2015/12/23,NATH,0.5706576
29,2015/12/24,NATH,0.3896227
30,2015/12/28,NATH,0.11190889
31,2015/12/29,NATH,0.043546237
32,2015/12/30,NATH,0.08478802
33,2015/12/31,NATH,0.20680968
34,2016/1/4,NATH,0.1894053
35,2016/1/5,NATH,0.060810298
36,2016/1/6,NATH,0.2157126
37,2016/1/7,NATH,0.00029691766
38,2016/1/8,NATH,0.12385355
39,2016/1/11,NATH,0.06704
40,2016/1/12,NATH,0.015290752
41,2016/1/13,NATH,0.2602955
42,2016/1/14,NATH,0.022174645
43,2016/1/15,NATH,0.016807038
44,2016/1/19,NATH,0.2849105
45,2016/1/20,NATH,0.6731248
46,2016/1/21,NATH,0.0060107596
47,2016/1/22,NATH,0.19882323
48,2016/1/25,NATH,0.118354194
49,2016/1/26,NATH,0.3702375
50,2016/1/27,NATH,0.069692306
51,2016/1/28,NATH,0.21886477
52,2016/1/29,NATH,0.05467356
53,2016/2/1,NATH,0.08762676
54,2016/2/2,NATH,0.21185136
55,2016/2/3,NATH,0.3709213
56,2016/2/4,NATH,0.1853071
57,2016/2/5,NATH,0.4751138
58,2016/2/8,NATH,0.5082833
59,2016/2/9,NATH,0.23377211
60,2016/2/10,NATH,0.10204833
61,2016/2/11,NATH,0.17597525
62,2016/2/12,NATH,0.04407921
63,2016/2/16,NATH,0.26590037
64,2016/2/17,NATH,0.04878898
65,2016/2/18,NATH,0.51785684
66,2016/2/19,NATH,0.35284904
67,2016/2/22,NATH,0.22865373
68,2016/2/23,NATH,0.09041092
69,2016/2/24,NATH,0.1698442
70,2016/2/25,NATH,0.26622525
71,2016/2/26,NATH,0.03157849
72,2016/2/29,NATH,0.39264917
73,2016/3/1,NATH,0.027936589
74,2016/3/2,NATH,0.2455828
75,2016/3/3,NATH,0.12748542
76,2016/3/4,NATH,0.18199624
77,2016/3/7,NATH,0.057956565
78,2016/3/8,NATH,0.009325564
79,2016/3/9,NATH,0.019286381
80,2016/3/10,NATH,0.16847444
81,2016/3/11,NATH,0.6793274
82,2016/3/14,NATH,0.22015755
83,2016/3/15,NATH,0.14985745
84,2016/3/16,NATH,0.019496411
85,2016/3/17,NATH,0.049005188
86,2016/3/18,NATH,0.7810497
87,2016/3/21,NATH,0.50861764
88,2016/3/22,NATH,0.56735647
89,2016/3/23,NATH,0.54851466
90,2016/3/24,NATH,0.21787183
91,2016/3/28,NATH,0.37403846
92,2016/3/29,NATH,0.44398707
93,2016/3/30,NATH,0.28867027
94,2016/3/31,NATH,0.2143393
95,2016/4/1,NATH,0.66008544
96,2016/4/4,NATH,0.62904316
97,2016/4/5,NATH,0.28709212
98,2016/4/6,NATH,0.049713656
99,2016/4/7,NATH,0.43639916
100,2016/4/8,NATH,0.13304423
101,2016/4/11,NATH,0.20615098
102,2016/4/12,NATH,0.004581059
103,2016/4/13,NATH,0.15729132
104,2016/4/14,NATH,0.29520035
105,2016/4/15,NATH,0.20321715
106,2016/4/18,NATH,0.06631543
107,2016/4/19,NATH,0.35748407
108,2016/4/20,NATH,0.6165196
109,2016/4/21,NATH,0.44805157
110,2016/4/22,NATH,0.30008045
111,2016/4/25,NATH,0.08761785
112,2016/4/26,NATH,0.14861792
113,2016/4/27,NATH,0.17982668
114,2016/4/28,NATH,0.24605188
115,2016/4/29,NATH,0.35506022
116,2016/5/2,NATH,0.40972447
117,2016/5/3,NATH,0.035084993
118,2016/5/4,NATH,0.35067573
119,2016/5/5,NATH,0.144072
120,2016/5/6,NATH,0.16191906
121,2016/5/9,NATH,0.37775043
122,2016/5/10,NATH,0.17948237
123,2016/5/11,NATH,0.23884088
124,2016/5/12,NATH,0.32626396
125,2016/5/13,NATH,0.4303249
126,2016/5/16,NATH,0.047291834
127,2016/5/17,NATH,0.69633883
128,2016/5/18,NATH,0.24467544
129,2016/5/19,NATH,0.04861338
130,2016/5/20,NATH,0.3779319
131,2016/5/23,NATH,0.14625818
132,2016/5/24,NATH,0.16056876
133,2016/5/25,NATH,0.038732767
134,2016/5/26,NATH,0.31484064
135,2016/5/27,NATH,0.24289201
136,2016/5/31,NATH,0.22698453
137,2016/6/1,NATH,0.2250894
138,2016/6/2,NATH,0.31595704
139,2016/6/3,NATH,0.3069287
140,2016/6/6,NATH,0.18512967
141,2016/6/7,NATH,0.46322635
142,2016/6/8,NATH,0.17249721
143,2016/6/9,NATH,0.059401862
144,2016/6/10,NATH,0.10673349
145,2016/6/13,NATH,0.14116824
146,2016/6/14,NATH,0.20006691
147,2016/6/15,NATH,0.49646553
148,2016/6/16,NATH,0.4516349
149,2016/6/17,NATH,0.123115405
150,2016/6/20,NATH,0.58130836
151,2016/6/21,NATH,0.07962528
152,2016/6/22,NATH,0.38759276
153,2016/6/23,NATH,0.028745517
154,2016/6/24,NATH,0.40427586
155,2016/6/27,NATH,0.73017746
156,2016/6/28,NATH,0.38612145
157,2016/6/29,NATH,0.18393633
158,2016/6/30,NATH,0.07499004
159,2016/7/1,NATH,0.38184428
160,2016/7/5,NATH,0.25160924
161,2016/7/6,NATH,0.11828634
162,2016/7/7,NATH,0.3217921
163,2016/7/8,NATH,0.1190255
164,2016/7/11,NATH,0.19896734
165,2016/7/12,NATH,0.25315854
166,2016/7/13,NATH,0.28563446
167,2016/7/14,NATH,0.16107114
168,2016/7/15,NATH,0.023875946
169,2016/7/18,NATH,0.25901446
170,2016/7/19,NATH,0.040374827
171,2016/7/20,NATH,0.23989397
172,2016/7/21,NATH,0.35411975
173,2016/7/22,NATH,0.27905852
174,2016/7/25,NATH,0.12883775
175,2016/7/26,NATH,0.24602878
176,2016/7/27,NATH,0.31157395
177,2016/7/28,NATH,0.40214983
178,2016/7/29,NATH,0.46492478
179,2016/8/1,NATH,0.8509422
180,2016/8/2,NATH,0.63616586
181,2016/8/3,NATH,0.4929566
182,2016/8/4,NATH,0.70334697
183,2016/8/5,NATH,0.25447866
184,2016/8/8,NATH,0.28740138
185,2016/8/9,NATH,0.24057722
186,2016/8/10,NATH,0.14327513
187,2016/8/11,NATH,0.5687506
188,2016/8/12,NATH,0.36374548
189,2016/8/15,NATH,0.15104723
