,date,tic,anomaly
0,2015/11/12,NKSH,0.091121815
1,2015/11/13,NKSH,0.44754466
2,2015/11/16,NKSH,0.07210078
3,2015/11/17,NKSH,0.129823
4,2015/11/18,NKSH,0.032453112
5,2015/11/19,NKSH,0.11213426
6,2015/11/20,NKSH,0.08019387
7,2015/11/23,NKSH,0.07123736
8,2015/11/24,NKSH,0.016506165
9,2015/11/25,NKSH,0.026517723
10,2015/11/27,NKSH,0.029001087
11,2015/11/30,NKSH,0.18104212
12,2015/12/1,NKSH,0.073777035
13,2015/12/2,NKSH,0.078662194
14,2015/12/3,NKSH,0.24329007
15,2015/12/4,NKSH,0.29302326
16,2015/12/7,NKSH,0.13928495
17,2015/12/8,NKSH,0.13104907
18,2015/12/9,NKSH,0.34315914
19,2015/12/10,NKSH,0.011827788
20,2015/12/11,NKSH,0.1275579
21,2015/12/14,NKSH,0.12843435
22,2015/12/15,NKSH,0.089028016
23,2015/12/16,NKSH,0.21434473
24,2015/12/17,NKSH,0.015655452
25,2015/12/18,NKSH,0.15478021
26,2015/12/21,NKSH,0.20866698
27,2015/12/22,NKSH,0.026940476
28,2015/12/23,NKSH,0.077731036
29,2015/12/24,NKSH,0.0836037
30,2015/12/28,NKSH,0.10034618
31,2015/12/29,NKSH,0.37869906
32,2015/12/30,NKSH,0.11403848
33,2015/12/31,NKSH,0.24829178
34,2016/1/4,NKSH,0.118277
35,2016/1/5,NKSH,0.07326469
36,2016/1/6,NKSH,0.06586832
37,2016/1/7,NKSH,0.3523181
38,2016/1/8,NKSH,0.31664068
39,2016/1/11,NKSH,0.009755083
40,2016/1/12,NKSH,0.0981589
41,2016/1/13,NKSH,0.105845265
42,2016/1/14,NKSH,0.47033373
43,2016/1/15,NKSH,0.05737517
44,2016/1/19,NKSH,0.11058126
45,2016/1/20,NKSH,0.12244238
46,2016/1/21,NKSH,0.38137373
47,2016/1/22,NKSH,0.13500415
48,2016/1/25,NKSH,0.14851551
49,2016/1/26,NKSH,0.16620396
50,2016/1/27,NKSH,0.27716357
51,2016/1/28,NKSH,0.2273623
52,2016/1/29,NKSH,0.10300853
53,2016/2/1,NKSH,0.0102418745
54,2016/2/2,NKSH,0.12735866
55,2016/2/3,NKSH,0.02409816
56,2016/2/4,NKSH,0.13716133
57,2016/2/5,NKSH,0.19996035
58,2016/2/8,NKSH,0.32355186
59,2016/2/9,NKSH,0.18912053
60,2016/2/10,NKSH,0.3354877
61,2016/2/11,NKSH,0.07357475
62,2016/2/12,NKSH,0.08853006
63,2016/2/16,NKSH,0.26203695
64,2016/2/17,NKSH,0.39974082
65,2016/2/18,NKSH,0.08927704
66,2016/2/19,NKSH,0.15045413
67,2016/2/22,NKSH,0.051635504
68,2016/2/23,NKSH,0.15024084
69,2016/2/24,NKSH,0.20518687
70,2016/2/25,NKSH,0.027528198
71,2016/2/26,NKSH,0.35795593
72,2016/2/29,NKSH,0.09626753
73,2016/3/1,NKSH,0.0699661
74,2016/3/2,NKSH,0.21374537
75,2016/3/3,NKSH,0.1808841
76,2016/3/4,NKSH,0.44994214
77,2016/3/7,NKSH,0.27095014
78,2016/3/8,NKSH,0.21817149
79,2016/3/9,NKSH,0.1108645
80,2016/3/10,NKSH,0.4694608
81,2016/3/11,NKSH,0.053850815
82,2016/3/14,NKSH,0.4265624
83,2016/3/15,NKSH,0.07255851
84,2016/3/16,NKSH,0.33724162
85,2016/3/17,NKSH,0.025070524
86,2016/3/18,NKSH,0.20005241
87,2016/3/21,NKSH,0.11178576
88,2016/3/22,NKSH,0.3082137
89,2016/3/23,NKSH,0.16675806
90,2016/3/24,NKSH,0.16095595
91,2016/3/28,NKSH,0.15604669
92,2016/3/29,NKSH,0.24657811
93,2016/3/30,NKSH,0.32558498
94,2016/3/31,NKSH,0.07068729
95,2016/4/1,NKSH,0.23895584
96,2016/4/4,NKSH,0.12626639
