,date,tic,anomaly
0,2015/11/12,NWFL,False
1,2015/11/13,NWFL,False
2,2015/11/16,NWFL,False
3,2015/11/17,NWFL,False
4,2015/11/18,NWFL,False
5,2015/11/19,NWFL,False
6,2015/11/20,NWFL,False
7,2015/11/23,NWFL,False
8,2015/11/24,NWFL,False
9,2015/11/25,NWFL,False
10,2015/11/27,NWFL,False
11,2015/11/30,NWFL,False
12,2015/12/1,NWFL,False
13,2015/12/2,NWFL,False
14,2015/12/3,NWFL,False
15,2015/12/4,NWFL,False
16,2015/12/7,NWFL,False
17,2015/12/8,NWFL,False
18,2015/12/9,NWFL,False
19,2015/12/10,NWFL,False
20,2015/12/11,NWFL,False
21,2015/12/14,NWFL,False
22,2015/12/15,NWFL,False
23,2015/12/16,NWFL,False
24,2015/12/17,NWFL,True
25,2015/12/18,NWFL,False
26,2015/12/21,NWFL,False
27,2015/12/22,NWFL,False
28,2015/12/23,NWFL,False
29,2015/12/24,NWFL,False
30,2015/12/28,NWFL,False
31,2015/12/29,NWFL,False
32,2015/12/30,NWFL,False
33,2015/12/31,NWFL,False
34,2016/1/4,NWFL,False
35,2016/1/5,NWFL,False
36,2016/1/6,NWFL,False
37,2016/1/7,NWFL,False
38,2016/1/8,NWFL,False
39,2016/1/11,NWFL,False
40,2016/1/12,NWFL,False
41,2016/1/13,NWFL,False
42,2016/1/14,NWFL,False
43,2016/1/15,NWFL,False
44,2016/1/19,NWFL,False
45,2016/1/20,NWFL,False
46,2016/1/21,NWFL,False
47,2016/1/22,NWFL,False
48,2016/1/25,NWFL,False
49,2016/1/26,NWFL,False
50,2016/1/27,NWFL,False
51,2016/1/28,NWFL,True
52,2016/1/29,NWFL,False
53,2016/2/1,NWFL,False
54,2016/2/2,NWFL,False
55,2016/2/3,NWFL,False
56,2016/2/4,NWFL,False
57,2016/2/5,NWFL,False
58,2016/2/8,NWFL,False
59,2016/2/9,NWFL,False
60,2016/2/10,NWFL,False
61,2016/2/11,NWFL,False
62,2016/2/12,NWFL,False
63,2016/2/16,NWFL,False
64,2016/2/17,NWFL,False
65,2016/2/18,NWFL,False
66,2016/2/19,NWFL,False
67,2016/2/22,NWFL,True
68,2016/2/23,NWFL,False
69,2016/2/24,NWFL,False
70,2016/2/25,NWFL,False
71,2016/2/26,NWFL,False
72,2016/2/29,NWFL,False
73,2016/3/1,NWFL,False
74,2016/3/2,NWFL,False
75,2016/3/3,NWFL,False
76,2016/3/4,NWFL,False
77,2016/3/7,NWFL,False
78,2016/3/8,NWFL,False
79,2016/3/9,NWFL,False
80,2016/3/10,NWFL,False
81,2016/3/11,NWFL,False
82,2016/3/14,NWFL,False
83,2016/3/15,NWFL,False
84,2016/3/16,NWFL,False
85,2016/3/17,NWFL,False
86,2016/3/18,NWFL,False
87,2016/3/21,NWFL,False
88,2016/3/22,NWFL,False
89,2016/3/23,NWFL,False
90,2016/3/24,NWFL,False
91,2016/3/28,NWFL,False
