,date,tic,anomaly
0,2015/11/12,PLBC,0.14689985
1,2015/11/13,PLBC,0.06788777
2,2015/11/16,PLBC,0.24083829
3,2015/11/17,PLBC,0.16202241
4,2015/11/18,PLBC,0.16781726
5,2015/11/19,PLBC,0.15744063
6,2015/11/20,PLBC,0.093009636
7,2015/11/23,PLBC,0.110759735
8,2015/11/24,PLBC,0.001431423
9,2015/11/25,PLBC,0.29688272
10,2015/11/27,PLBC,0.02975858
11,2015/11/30,PLBC,0.06465619
12,2015/12/1,PLBC,0.1562302
13,2015/12/2,PLBC,0.043489337
14,2015/12/3,PLBC,0.1862481
15,2015/12/4,PLBC,0.00502074
16,2015/12/7,PLBC,0.07405783
17,2015/12/8,PLBC,0.19698128
18,2015/12/9,PLBC,0.014270849
19,2015/12/10,PLBC,0.059445012
20,2015/12/11,PLBC,0.044038896
21,2015/12/14,PLBC,0.071333565
22,2015/12/15,PLBC,0.026920626
23,2015/12/16,PLBC,0.38910547
24,2015/12/17,PLBC,0.029507687
25,2015/12/18,PLBC,0.023390321
26,2015/12/21,PLBC,0.15852326
27,2015/12/22,PLBC,0.121767476
28,2015/12/23,PLBC,0.31341195
29,2015/12/24,PLBC,0.28239602
30,2015/12/28,PLBC,0.008431186
31,2015/12/29,PLBC,0.07091228
32,2015/12/30,PLBC,0.023703706
33,2015/12/31,PLBC,0.24493478
34,2016/1/4,PLBC,0.26175296
35,2016/1/5,PLBC,0.06405847
36,2016/1/6,PLBC,0.10755215
37,2016/1/7,PLBC,0.1408662
38,2016/1/8,PLBC,0.043336097
39,2016/1/11,PLBC,0.11489401
40,2016/1/12,PLBC,0.09399093
41,2016/1/13,PLBC,0.096807785
42,2016/1/14,PLBC,0.09501033
43,2016/1/15,PLBC,0.034383666
44,2016/1/19,PLBC,0.175899
45,2016/1/20,PLBC,0.28926092
46,2016/1/21,PLBC,0.026636483
47,2016/1/22,PLBC,0.2836131
48,2016/1/25,PLBC,0.07827136
49,2016/1/26,PLBC,0.304257
50,2016/1/27,PLBC,0.09303546
51,2016/1/28,PLBC,0.3648288
52,2016/1/29,PLBC,0.19553769
53,2016/2/1,PLBC,0.15907177
54,2016/2/2,PLBC,0.19341397
55,2016/2/3,PLBC,0.15551189
56,2016/2/4,PLBC,0.059223887
57,2016/2/5,PLBC,0.083967246
58,2016/2/8,PLBC,0.13791443
59,2016/2/9,PLBC,0.20596735
60,2016/2/10,PLBC,0.3875886
61,2016/2/11,PLBC,0.34959373
62,2016/2/12,PLBC,0.0035937792
63,2016/2/16,PLBC,0.30686468
64,2016/2/17,PLBC,0.1490927
65,2016/2/18,PLBC,0.05471413
66,2016/2/19,PLBC,0.119539335
67,2016/2/22,PLBC,0.083461516
68,2016/2/23,PLBC,0.053500667
69,2016/2/24,PLBC,0.06570201
70,2016/2/25,PLBC,0.20634817
71,2016/2/26,PLBC,0.21623187
72,2016/2/29,PLBC,0.07239884
73,2016/3/1,PLBC,0.099750094
74,2016/3/2,PLBC,0.01100622
75,2016/3/3,PLBC,0.05640026
76,2016/3/4,PLBC,0.045036554
77,2016/3/7,PLBC,0.09094492
78,2016/3/8,PLBC,0.0039162994
79,2016/3/9,PLBC,0.0721191
80,2016/3/10,PLBC,0.13335809
81,2016/3/11,PLBC,0.1620587
