,date,tic,anomaly
0,2015/11/12,PNRG,0.32796666
1,2015/11/13,PNRG,0.08928077
2,2015/11/16,PNRG,0.12965764
3,2015/11/17,PNRG,0.25739416
4,2015/11/18,PNRG,0.14760645
5,2015/11/19,PNRG,0.07040364
6,2015/11/20,PNRG,0.082450025
7,2015/11/23,PNRG,0.03860032
8,2015/11/24,PNRG,0.07686878
9,2015/11/25,PNRG,0.060121175
10,2015/11/27,PNRG,0.0826227
11,2015/11/30,PNRG,0.006516777
12,2015/12/1,PNRG,0.1623794
13,2015/12/2,PNRG,0.22422135
14,2015/12/3,PNRG,0.10756127
15,2015/12/4,PNRG,0.2018732
16,2015/12/7,PNRG,0.2689629
17,2015/12/8,PNRG,0.0007096191
18,2015/12/9,PNRG,0.23686495
19,2015/12/10,PNRG,0.18841816
20,2015/12/11,PNRG,0.07056139
21,2015/12/14,PNRG,0.123257436
22,2015/12/15,PNRG,0.09303528
23,2015/12/16,PNRG,0.0754157
24,2015/12/17,PNRG,0.019491
25,2015/12/18,PNRG,0.37874255
26,2015/12/21,PNRG,0.031443674
27,2015/12/22,PNRG,0.24332069
28,2015/12/23,PNRG,0.06212309
29,2015/12/24,PNRG,0.04566315
30,2015/12/28,PNRG,0.15445559
31,2015/12/29,PNRG,0.20230691
32,2015/12/30,PNRG,0.079955906
33,2015/12/31,PNRG,0.115527764
34,2016/1/4,PNRG,0.0018562475
35,2016/1/5,PNRG,0.05539638
36,2016/1/6,PNRG,0.27997345
37,2016/1/7,PNRG,0.20440029
38,2016/1/8,PNRG,0.093321435
39,2016/1/11,PNRG,0.20885462
40,2016/1/12,PNRG,0.0711789
41,2016/1/13,PNRG,0.00896789
42,2016/1/14,PNRG,0.037402634
43,2016/1/15,PNRG,0.3204878
44,2016/1/19,PNRG,0.02232874
45,2016/1/20,PNRG,0.11609599
46,2016/1/21,PNRG,0.26120472
47,2016/1/22,PNRG,0.20589848
48,2016/1/25,PNRG,0.41120264
49,2016/1/26,PNRG,0.30522847
50,2016/1/27,PNRG,0.052263446
51,2016/1/28,PNRG,0.03124301
52,2016/1/29,PNRG,0.07960997
53,2016/2/1,PNRG,0.16692306
54,2016/2/2,PNRG,0.0975124
55,2016/2/3,PNRG,0.30062094
56,2016/2/4,PNRG,0.10171221
57,2016/2/5,PNRG,0.047517028
58,2016/2/8,PNRG,0.0079722805
59,2016/2/9,PNRG,0.09240719
60,2016/2/10,PNRG,0.053357285
61,2016/2/11,PNRG,0.025923377
62,2016/2/12,PNRG,0.002579381
63,2016/2/16,PNRG,0.04125658
64,2016/2/17,PNRG,0.12658495
65,2016/2/18,PNRG,0.017449073
66,2016/2/19,PNRG,0.07920023
67,2016/2/22,PNRG,0.094292045
68,2016/2/23,PNRG,0.016282398
69,2016/2/24,PNRG,0.12031817
70,2016/2/25,PNRG,0.07867178
71,2016/2/26,PNRG,0.13642536
72,2016/2/29,PNRG,0.059196986
73,2016/3/1,PNRG,0.09097142
74,2016/3/2,PNRG,0.26331997
75,2016/3/3,PNRG,0.10180195
76,2016/3/4,PNRG,0.1707175
77,2016/3/7,PNRG,0.11158868
78,2016/3/8,PNRG,0.13171393
79,2016/3/9,PNRG,0.12493801
80,2016/3/10,PNRG,0.22153947
81,2016/3/11,PNRG,0.16327171
82,2016/3/14,PNRG,0.11491233
83,2016/3/15,PNRG,0.25054678
84,2016/3/16,PNRG,0.27853414
85,2016/3/17,PNRG,0.24181749
86,2016/3/18,PNRG,0.36023626
87,2016/3/21,PNRG,0.0780648
88,2016/3/22,PNRG,0.21164578
89,2016/3/23,PNRG,0.40234685
90,2016/3/24,PNRG,0.17448394
91,2016/3/28,PNRG,0.14746909
92,2016/3/29,PNRG,0.18275338
93,2016/3/30,PNRG,0.24725655
94,2016/3/31,PNRG,0.27983215
95,2016/4/1,PNRG,0.29192412
96,2016/4/4,PNRG,0.5742505
97,2016/4/5,PNRG,0.3295112
98,2016/4/6,PNRG,0.14410652
99,2016/4/7,PNRG,0.07555559
100,2016/4/8,PNRG,0.38570806
101,2016/4/11,PNRG,0.09702774
102,2016/4/12,PNRG,0.5802072
103,2016/4/13,PNRG,0.45119235
104,2016/4/14,PNRG,0.21047835
105,2016/4/15,PNRG,0.20209217
106,2016/4/18,PNRG,0.529576
107,2016/4/19,PNRG,0.22957675
108,2016/4/20,PNRG,0.27779317
109,2016/4/21,PNRG,0.39861417
110,2016/4/22,PNRG,0.48825482
111,2016/4/25,PNRG,0.34942773
112,2016/4/26,PNRG,0.15491481
113,2016/4/27,PNRG,0.14767358
114,2016/4/28,PNRG,0.41438425
115,2016/4/29,PNRG,0.14405166
116,2016/5/2,PNRG,0.2628547
117,2016/5/3,PNRG,0.29338053
118,2016/5/4,PNRG,0.3078757
119,2016/5/5,PNRG,0.06034617
120,2016/5/6,PNRG,0.33621103
121,2016/5/9,PNRG,0.0730156
122,2016/5/10,PNRG,0.15144545
123,2016/5/11,PNRG,0.20191176
124,2016/5/12,PNRG,0.07322703
125,2016/5/13,PNRG,0.13870533
126,2016/5/16,PNRG,0.15195663
127,2016/5/17,PNRG,0.11466022
128,2016/5/18,PNRG,0.08564365
129,2016/5/19,PNRG,0.30905437
130,2016/5/20,PNRG,0.05259091
131,2016/5/23,PNRG,0.012846994
132,2016/5/24,PNRG,0.0026050091
133,2016/5/25,PNRG,0.037823398
134,2016/5/26,PNRG,0.05873379
135,2016/5/27,PNRG,0.13818303
136,2016/5/31,PNRG,0.13804266
137,2016/6/1,PNRG,0.038950983
138,2016/6/2,PNRG,0.1700636
139,2016/6/3,PNRG,0.06838485
140,2016/6/6,PNRG,0.08730007
141,2016/6/7,PNRG,0.08559961
142,2016/6/8,PNRG,0.024879066
143,2016/6/9,PNRG,0.15744144
144,2016/6/10,PNRG,0.06966182
145,2016/6/13,PNRG,0.3302881
146,2016/6/14,PNRG,0.031184912
147,2016/6/15,PNRG,0.0028086987
148,2016/6/16,PNRG,0.18075411
149,2016/6/17,PNRG,0.08673299
150,2016/6/20,PNRG,0.10923662
151,2016/6/21,PNRG,0.017717935
152,2016/6/22,PNRG,0.007297967
153,2016/6/23,PNRG,0.08934556
154,2016/6/24,PNRG,0.04648447
155,2016/6/27,PNRG,0.12281036
156,2016/6/28,PNRG,0.047490574
157,2016/6/29,PNRG,0.11901785
158,2016/6/30,PNRG,0.024320394
159,2016/7/1,PNRG,0.0269466
160,2016/7/5,PNRG,0.12858379
161,2016/7/6,PNRG,0.12218877
162,2016/7/7,PNRG,0.15946892
163,2016/7/8,PNRG,0.0132747535
164,2016/7/11,PNRG,0.037166517
165,2016/7/12,PNRG,0.045585044
166,2016/7/13,PNRG,0.10098945
167,2016/7/14,PNRG,0.2569036
168,2016/7/15,PNRG,0.05102289
169,2016/7/18,PNRG,0.1586733
170,2016/7/19,PNRG,0.11489128
171,2016/7/20,PNRG,0.02882892
172,2016/7/21,PNRG,0.120967634
173,2016/7/22,PNRG,0.00602019
174,2016/7/25,PNRG,0.086967655
175,2016/7/26,PNRG,0.08546747
176,2016/7/27,PNRG,0.05999392
177,2016/7/28,PNRG,0.16144525
178,2016/7/29,PNRG,0.009026163
179,2016/8/1,PNRG,0.061599027
180,2016/8/2,PNRG,0.03877691
181,2016/8/3,PNRG,0.18419404
182,2016/8/4,PNRG,0.09059167
183,2016/8/5,PNRG,0.122125365
184,2016/8/8,PNRG,0.03883945
185,2016/8/9,PNRG,0.05767574
186,2016/8/10,PNRG,0.12573999
187,2016/8/11,PNRG,0.09562204
188,2016/8/12,PNRG,0.04573728
189,2016/8/15,PNRG,0.15882158
190,2016/8/16,PNRG,0.12074952
191,2016/8/17,PNRG,0.16665974
192,2016/8/18,PNRG,0.11048344
193,2016/8/19,PNRG,0.046262976
194,2016/8/22,PNRG,0.1574704
195,2016/8/23,PNRG,0.13663234
196,2016/8/24,PNRG,0.0732733
197,2016/8/25,PNRG,0.05498849
198,2016/8/26,PNRG,0.04642134
199,2016/8/29,PNRG,0.15707219
200,2016/8/30,PNRG,0.14311622
201,2016/8/31,PNRG,0.09706406
202,2016/9/1,PNRG,0.23186867
203,2016/9/2,PNRG,0.02169503
204,2016/9/6,PNRG,0.031745847
205,2016/9/7,PNRG,0.03592968
206,2016/9/8,PNRG,0.051416572
207,2016/9/9,PNRG,0.08715505
208,2016/9/12,PNRG,0.17657042
209,2016/9/13,PNRG,0.109707244
210,2016/9/14,PNRG,0.11561799
211,2016/9/15,PNRG,0.22989985
212,2016/9/16,PNRG,0.11965547
213,2016/9/19,PNRG,0.10404998
214,2016/9/20,PNRG,0.23063809
215,2016/9/21,PNRG,0.16097617
216,2016/9/22,PNRG,0.08917622
217,2016/9/23,PNRG,0.042681426
218,2016/9/26,PNRG,0.081086695
219,2016/9/27,PNRG,0.037406605
220,2016/9/28,PNRG,0.024983052
221,2016/9/29,PNRG,0.19652708
222,2016/9/30,PNRG,0.06697706
223,2016/10/3,PNRG,0.11050345
224,2016/10/4,PNRG,0.16126785
225,2016/10/5,PNRG,0.06882458
226,2016/10/6,PNRG,0.10647975
227,2016/10/7,PNRG,0.018968686
228,2016/10/10,PNRG,0.16291216
229,2016/10/11,PNRG,0.110115565
230,2016/10/12,PNRG,0.042394955
231,2016/10/13,PNRG,0.16373128
232,2016/10/14,PNRG,0.23241523
233,2016/10/17,PNRG,0.10745632
234,2016/10/18,PNRG,0.121477254
235,2016/10/19,PNRG,0.015961299
236,2016/10/20,PNRG,0.15530266
237,2016/10/21,PNRG,0.016915519
238,2016/10/24,PNRG,0.092492916
239,2016/10/25,PNRG,0.11153334
240,2016/10/26,PNRG,0.07243926
241,2016/10/27,PNRG,0.18510108
242,2016/10/28,PNRG,0.09176206
243,2016/10/31,PNRG,0.19315918
244,2016/11/1,PNRG,0.119370036
245,2016/11/2,PNRG,0.15326494
246,2016/11/3,PNRG,0.20624308
247,2016/11/4,PNRG,0.05643004
248,2016/11/7,PNRG,0.13388078
249,2016/11/8,PNRG,0.21494864
250,2016/11/9,PNRG,0.19243135
251,2016/11/10,PNRG,0.21352115
252,2016/11/11,PNRG,0.16198176
253,2016/11/14,PNRG,0.14807297
254,2016/11/15,PNRG,0.055589773
255,2016/11/16,PNRG,0.08311947
256,2016/11/17,PNRG,0.027798131
257,2016/11/18,PNRG,0.065655656
258,2016/11/21,PNRG,0.06271305
259,2016/11/22,PNRG,0.069428556
260,2016/11/23,PNRG,0.18342803
261,2016/11/25,PNRG,0.18043695
262,2016/11/28,PNRG,0.02184601
263,2016/11/29,PNRG,0.07989502
264,2016/11/30,PNRG,0.11078363
265,2016/12/1,PNRG,0.03123554
266,2016/12/2,PNRG,0.13067181
267,2016/12/5,PNRG,0.07100182
268,2016/12/6,PNRG,0.07160145
269,2016/12/7,PNRG,0.34559086
270,2016/12/8,PNRG,0.07918042
271,2016/12/9,PNRG,0.072124116
272,2016/12/12,PNRG,0.028450472
273,2016/12/13,PNRG,0.08469737
274,2016/12/14,PNRG,0.04745241
275,2016/12/15,PNRG,0.03651445
276,2016/12/16,PNRG,0.1537845
277,2016/12/19,PNRG,0.029410353
278,2016/12/20,PNRG,0.048565075
279,2016/12/21,PNRG,0.16494988
280,2016/12/22,PNRG,0.04454647
281,2016/12/23,PNRG,0.063750915
282,2016/12/27,PNRG,0.102211334
283,2016/12/28,PNRG,0.1268534
284,2016/12/29,PNRG,0.050941586
285,2016/12/30,PNRG,0.049985595
286,2017/1/3,PNRG,0.070779145
287,2017/1/4,PNRG,0.08555348
288,2017/1/5,PNRG,0.047308702
289,2017/1/6,PNRG,0.06861698
290,2017/1/9,PNRG,0.04907882
291,2017/1/10,PNRG,0.06923622
292,2017/1/11,PNRG,0.09513805
293,2017/1/12,PNRG,0.03687537
294,2017/1/13,PNRG,0.1369004
295,2017/1/17,PNRG,0.14607958
296,2017/1/18,PNRG,0.0056175473
297,2017/1/19,PNRG,0.034222353
298,2017/1/20,PNRG,0.06265123
299,2017/1/23,PNRG,0.042925328
300,2017/1/24,PNRG,0.016357003
301,2017/1/25,PNRG,0.002505169
302,2017/1/26,PNRG,0.14667743
303,2017/1/27,PNRG,0.06550134
304,2017/1/30,PNRG,0.00052141654
305,2017/1/31,PNRG,0.1478635
306,2017/2/1,PNRG,0.01149475
307,2017/2/2,PNRG,0.13291079
308,2017/2/3,PNRG,0.09288088
309,2017/2/6,PNRG,0.13537645
310,2017/2/7,PNRG,0.077274375
311,2017/2/8,PNRG,0.15144786
312,2017/2/9,PNRG,0.0271531
313,2017/2/10,PNRG,0.07647294
314,2017/2/13,PNRG,0.03984184
315,2017/2/14,PNRG,0.044900313
316,2017/2/15,PNRG,0.0066014053
317,2017/2/16,PNRG,0.15754163
318,2017/2/17,PNRG,0.048941128
319,2017/2/21,PNRG,0.062216736
320,2017/2/22,PNRG,0.10440422
321,2017/2/23,PNRG,0.031924732
322,2017/2/24,PNRG,0.038140193
323,2017/2/27,PNRG,0.037157398
324,2017/2/28,PNRG,0.105339356
325,2017/3/1,PNRG,0.05900285
326,2017/3/2,PNRG,0.093056545
327,2017/3/3,PNRG,0.0706999
328,2017/3/6,PNRG,0.10893026
329,2017/3/7,PNRG,0.1402152
330,2017/3/8,PNRG,0.0865268
331,2017/3/9,PNRG,0.077016085
332,2017/3/10,PNRG,0.013200483
333,2017/3/13,PNRG,0.025725545
334,2017/3/14,PNRG,0.1053449
335,2017/3/15,PNRG,0.054214258
336,2017/3/16,PNRG,0.13063876
337,2017/3/17,PNRG,0.10057379
338,2017/3/20,PNRG,0.17271496
339,2017/3/21,PNRG,0.15093984
340,2017/3/22,PNRG,0.117746435
341,2017/3/23,PNRG,0.11015668
342,2017/3/24,PNRG,0.25157806
343,2017/3/27,PNRG,0.011058991
344,2017/3/28,PNRG,0.16591255
345,2017/3/29,PNRG,0.23412332
346,2017/3/30,PNRG,0.2681725
347,2017/3/31,PNRG,0.10017031
348,2017/4/3,PNRG,0.16901405
349,2017/4/4,PNRG,0.028879628
350,2017/4/5,PNRG,0.08007127
351,2017/4/6,PNRG,0.13483264
352,2017/4/7,PNRG,0.0532021
353,2017/4/10,PNRG,0.32788503
354,2017/4/11,PNRG,0.011336382
355,2017/4/12,PNRG,0.08029434
356,2017/4/13,PNRG,0.2132867
357,2017/4/17,PNRG,0.028138846
358,2017/4/18,PNRG,0.04815868
359,2017/4/19,PNRG,0.1135841
360,2017/4/20,PNRG,0.2754912
361,2017/4/21,PNRG,0.29330546
362,2017/4/24,PNRG,0.06973377
363,2017/4/25,PNRG,0.13559984
364,2017/4/26,PNRG,0.5214685
365,2017/4/27,PNRG,0.03128287
366,2017/4/28,PNRG,0.08813399
367,2017/5/1,PNRG,0.17900403
368,2017/5/2,PNRG,0.19924971
369,2017/5/3,PNRG,0.0672375
370,2017/5/4,PNRG,0.22403601
371,2017/5/5,PNRG,0.15742245
372,2017/5/8,PNRG,0.11486312
373,2017/5/9,PNRG,0.11900279
374,2017/5/10,PNRG,0.15885119
375,2017/5/11,PNRG,0.233125
376,2017/5/12,PNRG,0.014982276
377,2017/5/15,PNRG,0.0055672736
378,2017/5/16,PNRG,0.1475788
379,2017/5/17,PNRG,0.16465332
380,2017/5/18,PNRG,0.3835887
381,2017/5/19,PNRG,0.05659851
382,2017/5/22,PNRG,0.044093102
383,2017/5/23,PNRG,0.08907426
384,2017/5/24,PNRG,0.0067766756
385,2017/5/25,PNRG,0.017050736
386,2017/5/26,PNRG,0.21908103
387,2017/5/30,PNRG,0.1007914
388,2017/5/31,PNRG,0.1340224
389,2017/6/1,PNRG,0.1457597
390,2017/6/2,PNRG,0.26485884
391,2017/6/5,PNRG,0.1945311
392,2017/6/6,PNRG,0.09118242
393,2017/6/7,PNRG,0.13004798
394,2017/6/8,PNRG,0.23159635
395,2017/6/9,PNRG,0.06961051
396,2017/6/12,PNRG,0.25357482
397,2017/6/13,PNRG,0.3268948
398,2017/6/14,PNRG,0.06921759
399,2017/6/15,PNRG,0.037302952
400,2017/6/16,PNRG,0.092652895
401,2017/6/19,PNRG,0.1562939
402,2017/6/20,PNRG,0.061250273
403,2017/6/21,PNRG,0.119744085
404,2017/6/22,PNRG,0.04511658
405,2017/6/23,PNRG,0.1334605
406,2017/6/26,PNRG,0.23939241
407,2017/6/27,PNRG,0.041577917
408,2017/6/28,PNRG,0.053684123
409,2017/6/29,PNRG,0.20019317
410,2017/6/30,PNRG,0.39388838
411,2017/7/3,PNRG,0.08490727
412,2017/7/5,PNRG,0.08129455
413,2017/7/6,PNRG,0.15426931
414,2017/7/7,PNRG,0.1907661
415,2017/7/10,PNRG,0.068286836
416,2017/7/11,PNRG,0.031072926
417,2017/7/12,PNRG,0.11692509
418,2017/7/13,PNRG,0.24361138
419,2017/7/14,PNRG,0.27282175
420,2017/7/17,PNRG,0.039429978
421,2017/7/18,PNRG,0.022808995
