,date,tic,anomaly
0,2015/11/12,QRTEB,0.04173633
1,2015/11/13,QRTEB,0.080746695
2,2015/11/16,QRTEB,0.11906043
3,2015/11/17,QRTEB,0.02868547
4,2015/11/18,QRTEB,0.1872271
5,2015/11/19,QRTEB,0.10268332
6,2015/11/20,QRTEB,0.08409721
7,2015/11/23,QRTEB,0.030212145
8,2015/11/24,QRTEB,0.05464167
9,2015/11/25,QRTEB,0.024387851
10,2015/11/27,QRTEB,0.07650723
11,2015/11/30,QRTEB,0.1102805
12,2015/12/1,QRTEB,0.105953366
13,2015/12/2,QRTEB,0.08262783
14,2015/12/3,QRTEB,0.116696574
15,2015/12/4,QRTEB,0.18006183
16,2015/12/7,QRTEB,0.09529121
17,2015/12/8,QRTEB,0.024292236
18,2015/12/9,QRTEB,0.016030964
19,2015/12/10,QRTEB,0.059409007
20,2015/12/11,QRTEB,0.032774556
21,2015/12/14,QRTEB,0.026491037
22,2015/12/15,QRTEB,0.08003663
23,2015/12/16,QRTEB,0.014655722
24,2015/12/17,QRTEB,0.0427537
25,2015/12/18,QRTEB,0.07924313
26,2015/12/21,QRTEB,0.036094565
27,2015/12/22,QRTEB,0.0911566
28,2015/12/23,QRTEB,0.010039066
29,2015/12/24,QRTEB,0.07172229
30,2015/12/28,QRTEB,0.017373562
31,2015/12/29,QRTEB,0.24773113
32,2015/12/30,QRTEB,0.049563415
33,2015/12/31,QRTEB,0.022142377
34,2016/1/4,QRTEB,0.09719914
35,2016/1/5,QRTEB,0.17084366
36,2016/1/6,QRTEB,0.18199342
37,2016/1/7,QRTEB,0.16525777
38,2016/1/8,QRTEB,0.05915819
39,2016/1/11,QRTEB,0.09668544
40,2016/1/12,QRTEB,0.20616417
41,2016/1/13,QRTEB,0.10562659
42,2016/1/14,QRTEB,0.04076639
43,2016/1/15,QRTEB,0.041935988
44,2016/1/19,QRTEB,0.06757174
45,2016/1/20,QRTEB,0.029360982
46,2016/1/21,QRTEB,0.09878453
47,2016/1/22,QRTEB,0.023749432
48,2016/1/25,QRTEB,0.057745118
49,2016/1/26,QRTEB,0.030869102
50,2016/1/27,QRTEB,0.05974127
51,2016/1/28,QRTEB,0.079063505
52,2016/1/29,QRTEB,0.16009867
53,2016/2/1,QRTEB,0.13878824
54,2016/2/2,QRTEB,0.014261259
55,2016/2/3,QRTEB,0.1256396
56,2016/2/4,QRTEB,0.030154536
57,2016/2/5,QRTEB,0.0029904535
58,2016/2/8,QRTEB,0.04875977
59,2016/2/9,QRTEB,0.12819698
60,2016/2/10,QRTEB,0.040778495
61,2016/2/11,QRTEB,0.041796762
62,2016/2/12,QRTEB,0.008041882
63,2016/2/16,QRTEB,0.13622005
64,2016/2/17,QRTEB,0.10514081
65,2016/2/18,QRTEB,0.038432747
66,2016/2/19,QRTEB,0.03742767
67,2016/2/22,QRTEB,0.06794584
68,2016/2/23,QRTEB,0.105474934
69,2016/2/24,QRTEB,0.15569626
70,2016/2/25,QRTEB,0.15446232
71,2016/2/26,QRTEB,0.07081713
72,2016/2/29,QRTEB,0.013306588
73,2016/3/1,QRTEB,0.006482189
74,2016/3/2,QRTEB,0.10499617
75,2016/3/3,QRTEB,0.106980145
76,2016/3/4,QRTEB,0.047436498
77,2016/3/7,QRTEB,0.087565385
78,2016/3/8,QRTEB,0.13945764
79,2016/3/9,QRTEB,0.0055638035
80,2016/3/10,QRTEB,0.06184052
81,2016/3/11,QRTEB,0.028753053
82,2016/3/14,QRTEB,0.07654687
83,2016/3/15,QRTEB,0.04348765
84,2016/3/16,QRTEB,0.0357897
85,2016/3/17,QRTEB,0.023375433
86,2016/3/18,QRTEB,0.14671178
87,2016/3/21,QRTEB,0.06142074
88,2016/3/22,QRTEB,0.07937037
89,2016/3/23,QRTEB,0.14138807
90,2016/3/24,QRTEB,0.02208714
91,2016/3/28,QRTEB,0.06399586
92,2016/3/29,QRTEB,0.010456814
93,2016/3/30,QRTEB,0.030719351
94,2016/3/31,QRTEB,0.12598783
95,2016/4/1,QRTEB,0.0045543434
96,2016/4/4,QRTEB,0.23651044
97,2016/4/5,QRTEB,0.12743925
98,2016/4/6,QRTEB,0.05040634
99,2016/4/7,QRTEB,0.05973162
100,2016/4/8,QRTEB,0.010131242
101,2016/4/11,QRTEB,0.034302197
102,2016/4/12,QRTEB,0.075442076
103,2016/4/13,QRTEB,0.14066385
104,2016/4/14,QRTEB,0.030329531
105,2016/4/15,QRTEB,0.10520595
106,2016/4/18,QRTEB,0.021812264
107,2016/4/19,QRTEB,0.048875056
108,2016/4/20,QRTEB,0.0017366589
109,2016/4/21,QRTEB,0.051135387
110,2016/4/22,QRTEB,0.052574497
111,2016/4/25,QRTEB,0.0816214
112,2016/4/26,QRTEB,0.052670732
113,2016/4/27,QRTEB,0.12504783
114,2016/4/28,QRTEB,0.12300681
115,2016/4/29,QRTEB,0.043093927
116,2016/5/2,QRTEB,0.030657133
117,2016/5/3,QRTEB,0.10506354
118,2016/5/4,QRTEB,0.036553584
119,2016/5/5,QRTEB,0.04363955
120,2016/5/6,QRTEB,0.110615164
121,2016/5/9,QRTEB,0.043210693
122,2016/5/10,QRTEB,0.020692125
123,2016/5/11,QRTEB,0.018754993
124,2016/5/12,QRTEB,0.058405258
125,2016/5/13,QRTEB,0.009294748
126,2016/5/16,QRTEB,0.10104698
127,2016/5/17,QRTEB,0.08293359
128,2016/5/18,QRTEB,0.20984623
129,2016/5/19,QRTEB,0.066817254
130,2016/5/20,QRTEB,0.07112655
131,2016/5/23,QRTEB,0.055778164
132,2016/5/24,QRTEB,0.18748878
133,2016/5/25,QRTEB,0.009700527
134,2016/5/26,QRTEB,0.07202277
135,2016/5/27,QRTEB,0.00056472176
136,2016/5/31,QRTEB,0.04803282
137,2016/6/1,QRTEB,0.15052602
138,2016/6/2,QRTEB,0.13061045
139,2016/6/3,QRTEB,0.05637925
140,2016/6/6,QRTEB,0.109611005
141,2016/6/7,QRTEB,0.022246659
142,2016/6/8,QRTEB,0.17912878
143,2016/6/9,QRTEB,0.11863093
144,2016/6/10,QRTEB,0.026318345
145,2016/6/13,QRTEB,0.03391998
146,2016/6/14,QRTEB,0.04709648
147,2016/6/15,QRTEB,0.037673727
148,2016/6/16,QRTEB,0.09950023
149,2016/6/17,QRTEB,0.05919343
150,2016/6/20,QRTEB,0.06383561
151,2016/6/21,QRTEB,0.08696693
152,2016/6/22,QRTEB,0.01891506
153,2016/6/23,QRTEB,0.21328837
154,2016/6/24,QRTEB,0.0279211
155,2016/6/27,QRTEB,0.003858899
156,2016/6/28,QRTEB,0.0006055129
157,2016/6/29,QRTEB,0.03304897
158,2016/6/30,QRTEB,0.035896886
