,date,tic,anomaly
0,2015/11/12,SWKH,False
1,2015/11/13,SWKH,False
2,2015/11/16,SWKH,False
3,2015/11/17,SWKH,False
4,2015/11/18,SWKH,False
5,2015/11/19,SWKH,False
6,2015/11/20,SWKH,False
7,2015/11/23,SWKH,False
8,2015/11/24,SWKH,False
9,2015/11/25,SWKH,False
10,2015/11/27,SWKH,False
11,2015/11/30,SWKH,False
12,2015/12/1,SWKH,False
13,2015/12/2,SWKH,False
14,2015/12/3,SWKH,False
15,2015/12/4,SWKH,False
16,2015/12/7,SWKH,False
17,2015/12/8,SWKH,False
18,2015/12/9,SWKH,False
19,2015/12/10,SWKH,False
20,2015/12/11,SWKH,False
21,2015/12/14,SWKH,False
22,2015/12/15,SWKH,False
23,2015/12/16,SWKH,False
24,2015/12/17,SWKH,False
25,2015/12/18,SWKH,False
26,2015/12/21,SWKH,False
27,2015/12/22,SWKH,False
28,2015/12/23,SWKH,False
29,2015/12/24,SWKH,False
30,2015/12/28,SWKH,False
31,2015/12/29,SWKH,False
32,2015/12/30,SWKH,False
33,2015/12/31,SWKH,False
34,2016/1/4,SWKH,False
35,2016/1/5,SWKH,False
36,2016/1/6,SWKH,False
37,2016/1/7,SWKH,False
38,2016/1/8,SWKH,False
39,2016/1/11,SWKH,False
40,2016/1/12,SWKH,False
41,2016/1/13,SWKH,False
42,2016/1/14,SWKH,False
43,2016/1/15,SWKH,False
44,2016/1/19,SWKH,False
45,2016/1/20,SWKH,False
46,2016/1/21,SWKH,False
47,2016/1/22,SWKH,False
48,2016/1/25,SWKH,False
49,2016/1/26,SWKH,False
50,2016/1/27,SWKH,False
51,2016/1/28,SWKH,False
52,2016/1/29,SWKH,False
53,2016/2/1,SWKH,False
54,2016/2/2,SWKH,False
55,2016/2/3,SWKH,False
56,2016/2/4,SWKH,False
57,2016/2/5,SWKH,False
58,2016/2/8,SWKH,False
59,2016/2/9,SWKH,False
60,2016/2/10,SWKH,False
61,2016/2/11,SWKH,False
62,2016/2/12,SWKH,False
63,2016/2/16,SWKH,False
64,2016/2/17,SWKH,False
65,2016/2/18,SWKH,False
66,2016/2/19,SWKH,False
67,2016/2/22,SWKH,False
68,2016/2/23,SWKH,False
69,2016/2/24,SWKH,False
70,2016/2/25,SWKH,False
71,2016/2/26,SWKH,False
72,2016/2/29,SWKH,False
73,2016/3/1,SWKH,False
74,2016/3/2,SWKH,False
75,2016/3/3,SWKH,False
76,2016/3/4,SWKH,False
77,2016/3/7,SWKH,False
78,2016/3/8,SWKH,False
79,2016/3/9,SWKH,False
80,2016/3/10,SWKH,False
81,2016/3/11,SWKH,False
82,2016/3/14,SWKH,False
83,2016/3/15,SWKH,False
84,2016/3/16,SWKH,False
85,2016/3/17,SWKH,False
86,2016/3/18,SWKH,False
87,2016/3/21,SWKH,False
88,2016/3/22,SWKH,False
89,2016/3/23,SWKH,False
90,2016/3/24,SWKH,False
91,2016/3/28,SWKH,False
92,2016/3/29,SWKH,False
93,2016/3/30,SWKH,False
94,2016/3/31,SWKH,False
95,2016/4/1,SWKH,False
96,2016/4/4,SWKH,False
97,2016/4/5,SWKH,False
98,2016/4/6,SWKH,False
99,2016/4/7,SWKH,False
100,2016/4/8,SWKH,False
