,date,tic,anomaly
0,2015/11/12,TCI,0.7584592
1,2015/11/13,TCI,0.59243053
2,2015/11/16,TCI,0.1605213
3,2015/11/17,TCI,0.39592588
4,2015/11/18,TCI,0.46582958
5,2015/11/19,TCI,0.25442708
6,2015/11/20,TCI,0.19773515
7,2015/11/23,TCI,0.06420179
8,2015/11/24,TCI,0.43984383
9,2015/11/25,TCI,0.5146761
10,2015/11/27,TCI,0.031476676
11,2015/11/30,TCI,0.20884173
12,2015/12/1,TCI,0.7265978
13,2015/12/2,TCI,0.08813097
14,2015/12/3,TCI,0.037193853
15,2015/12/4,TCI,0.39839676
16,2015/12/7,TCI,0.518346
17,2015/12/8,TCI,0.13784252
18,2015/12/9,TCI,0.29496238
19,2015/12/10,TCI,0.4711951
20,2015/12/11,TCI,0.3044245
21,2015/12/14,TCI,0.53977555
22,2015/12/15,TCI,0.541384
23,2015/12/16,TCI,0.24388689
24,2015/12/17,TCI,0.78998077
25,2015/12/18,TCI,0.35643965
26,2015/12/21,TCI,0.09352135
27,2015/12/22,TCI,0.05758744
28,2015/12/23,TCI,0.12357787
29,2015/12/24,TCI,0.38808906
30,2015/12/28,TCI,0.074195154
31,2015/12/29,TCI,0.20198937
32,2015/12/30,TCI,0.19079623
33,2015/12/31,TCI,0.24211323
34,2016/1/4,TCI,0.44376358
35,2016/1/5,TCI,0.32717392
36,2016/1/6,TCI,0.30671605
37,2016/1/7,TCI,0.087436005
38,2016/1/8,TCI,0.2975218
39,2016/1/11,TCI,0.109859705
40,2016/1/12,TCI,0.4131079
41,2016/1/13,TCI,0.09468094
42,2016/1/14,TCI,0.17338578
43,2016/1/15,TCI,0.5399005
44,2016/1/19,TCI,0.2991778
45,2016/1/20,TCI,0.03114209
46,2016/1/21,TCI,0.2181559
47,2016/1/22,TCI,0.27665251
48,2016/1/25,TCI,0.24601464
49,2016/1/26,TCI,0.341308
50,2016/1/27,TCI,0.1783191
51,2016/1/28,TCI,0.32620534
52,2016/1/29,TCI,0.28894588
53,2016/2/1,TCI,0.04413181
54,2016/2/2,TCI,0.40446538
55,2016/2/3,TCI,0.006549702
56,2016/2/4,TCI,0.14243805
57,2016/2/5,TCI,0.18317023
58,2016/2/8,TCI,0.51216954
59,2016/2/9,TCI,0.4744458
60,2016/2/10,TCI,0.32902443
61,2016/2/11,TCI,0.3001436
62,2016/2/12,TCI,0.37908345
63,2016/2/16,TCI,0.18121377
64,2016/2/17,TCI,0.38939628
65,2016/2/18,TCI,0.559197
66,2016/2/19,TCI,0.014395702
67,2016/2/22,TCI,0.1863237
68,2016/2/23,TCI,0.101083174
69,2016/2/24,TCI,0.18642922
70,2016/2/25,TCI,0.3127398
71,2016/2/26,TCI,0.5359609
72,2016/2/29,TCI,0.116617315
73,2016/3/1,TCI,0.69826883
74,2016/3/2,TCI,0.24173398
75,2016/3/3,TCI,0.08232
76,2016/3/4,TCI,0.7451071
77,2016/3/7,TCI,0.161047
78,2016/3/8,TCI,0.12782794
79,2016/3/9,TCI,0.6927315
80,2016/3/10,TCI,0.17058022
81,2016/3/11,TCI,0.6202613
82,2016/3/14,TCI,0.58604085
83,2016/3/15,TCI,0.33289698
84,2016/3/16,TCI,0.22253293
85,2016/3/17,TCI,0.20374587
86,2016/3/18,TCI,0.03858976
87,2016/3/21,TCI,0.028353902
88,2016/3/22,TCI,0.077195354
89,2016/3/23,TCI,0.29452342
90,2016/3/24,TCI,0.39646566
91,2016/3/28,TCI,0.017855085
92,2016/3/29,TCI,0.29666364
93,2016/3/30,TCI,0.18292901
94,2016/3/31,TCI,0.5170893
95,2016/4/1,TCI,0.19618745
96,2016/4/4,TCI,0.037388064
97,2016/4/5,TCI,0.54857457
98,2016/4/6,TCI,0.1984398
99,2016/4/7,TCI,0.6656721
100,2016/4/8,TCI,0.10967733
101,2016/4/11,TCI,0.6245611
102,2016/4/12,TCI,0.4066754
103,2016/4/13,TCI,0.2874162
104,2016/4/14,TCI,0.56916064
105,2016/4/15,TCI,0.1402359
106,2016/4/18,TCI,0.18258451
107,2016/4/19,TCI,0.016421555
108,2016/4/20,TCI,0.46569952
109,2016/4/21,TCI,0.2878254
110,2016/4/22,TCI,0.16735512
111,2016/4/25,TCI,0.033453923
112,2016/4/26,TCI,0.23506452
113,2016/4/27,TCI,0.14901094
114,2016/4/28,TCI,0.062373236
115,2016/4/29,TCI,0.56676644
116,2016/5/2,TCI,0.10546628
117,2016/5/3,TCI,0.35893705
118,2016/5/4,TCI,0.1477163
119,2016/5/5,TCI,0.53976595
120,2016/5/6,TCI,0.08534502
121,2016/5/9,TCI,0.2784396
122,2016/5/10,TCI,0.25928992
123,2016/5/11,TCI,0.2201936
124,2016/5/12,TCI,0.540688
125,2016/5/13,TCI,0.48007184
126,2016/5/16,TCI,0.20145439
127,2016/5/17,TCI,0.1172948
128,2016/5/18,TCI,0.5595882
129,2016/5/19,TCI,0.10451815
130,2016/5/20,TCI,0.1823708
131,2016/5/23,TCI,0.0659828
132,2016/5/24,TCI,0.24814378
133,2016/5/25,TCI,0.5931543
134,2016/5/26,TCI,0.09469362
135,2016/5/27,TCI,0.33290583
