,date,tic,anomaly
0,2015/11/12,VABK,False
1,2015/11/13,VABK,False
2,2015/11/16,VABK,False
3,2015/11/17,VABK,False
4,2015/11/18,VABK,False
5,2015/11/19,VABK,False
6,2015/11/20,VABK,True
7,2015/11/23,VABK,False
8,2015/11/24,VABK,False
9,2015/11/25,VABK,False
10,2015/11/27,VABK,False
11,2015/11/30,VABK,False
12,2015/12/1,VABK,False
13,2015/12/2,VABK,True
14,2015/12/3,VABK,False
15,2015/12/4,VABK,False
16,2015/12/7,VABK,False
17,2015/12/8,VABK,True
18,2015/12/9,VABK,False
19,2015/12/10,VABK,False
20,2015/12/11,VABK,False
21,2015/12/14,VABK,False
22,2015/12/15,VABK,False
23,2015/12/16,VABK,False
24,2015/12/17,VABK,False
25,2015/12/18,VABK,False
26,2015/12/21,VABK,False
27,2015/12/22,VABK,True
28,2015/12/23,VABK,False
29,2015/12/24,VABK,False
30,2015/12/28,VABK,False
31,2015/12/29,VABK,False
32,2015/12/30,VABK,False
33,2015/12/31,VABK,False
34,2016/1/4,VABK,False
35,2016/1/5,VABK,False
36,2016/1/6,VABK,False
37,2016/1/7,VABK,False
38,2016/1/8,VABK,False
39,2016/1/11,VABK,False
40,2016/1/12,VABK,False
41,2016/1/13,VABK,False
42,2016/1/14,VABK,False
43,2016/1/15,VABK,False
44,2016/1/19,VABK,False
45,2016/1/20,VABK,False
46,2016/1/21,VABK,False
47,2016/1/22,VABK,False
48,2016/1/25,VABK,False
49,2016/1/26,VABK,False
50,2016/1/27,VABK,False
51,2016/1/28,VABK,False
52,2016/1/29,VABK,False
53,2016/2/1,VABK,False
54,2016/2/2,VABK,False
55,2016/2/3,VABK,False
56,2016/2/4,VABK,False
57,2016/2/5,VABK,False
58,2016/2/8,VABK,False
59,2016/2/9,VABK,False
60,2016/2/10,VABK,False
61,2016/2/11,VABK,False
62,2016/2/12,VABK,False
63,2016/2/16,VABK,False
64,2016/2/17,VABK,False
65,2016/2/18,VABK,False
66,2016/2/19,VABK,False
67,2016/2/22,VABK,False
68,2016/2/23,VABK,False
69,2016/2/24,VABK,False
70,2016/2/25,VABK,False
71,2016/2/26,VABK,False
72,2016/2/29,VABK,False
73,2016/3/1,VABK,False
74,2016/3/2,VABK,False
75,2016/3/3,VABK,False
76,2016/3/4,VABK,False
77,2016/3/7,VABK,False
78,2016/3/8,VABK,False
79,2016/3/9,VABK,False
80,2016/3/10,VABK,False
81,2016/3/11,VABK,False
82,2016/3/14,VABK,True
83,2016/3/15,VABK,False
84,2016/3/16,VABK,False
85,2016/3/17,VABK,True
86,2016/3/18,VABK,False
87,2016/3/21,VABK,True
88,2016/3/22,VABK,False
89,2016/3/23,VABK,True
90,2016/3/24,VABK,False
91,2016/3/28,VABK,False
92,2016/3/29,VABK,False
93,2016/3/30,VABK,False
94,2016/3/31,VABK,False
95,2016/4/1,VABK,False
96,2016/4/4,VABK,False
97,2016/4/5,VABK,False
98,2016/4/6,VABK,False
99,2016/4/7,VABK,False
100,2016/4/8,VABK,False
101,2016/4/11,VABK,False
102,2016/4/12,VABK,False
103,2016/4/13,VABK,False
104,2016/4/14,VABK,False
105,2016/4/15,VABK,False
106,2016/4/18,VABK,False
107,2016/4/19,VABK,False
108,2016/4/20,VABK,False
109,2016/4/21,VABK,False
110,2016/4/22,VABK,False
111,2016/4/25,VABK,False
112,2016/4/26,VABK,True
113,2016/4/27,VABK,False
114,2016/4/28,VABK,False
115,2016/4/29,VABK,False
116,2016/5/2,VABK,False
117,2016/5/3,VABK,False
118,2016/5/4,VABK,True
