,date,tic,anomaly
0,2015/11/12,VALU,0.060713857
1,2015/11/13,VALU,0.07152913
2,2015/11/16,VALU,0.093935706
3,2015/11/17,VALU,0.11017356
4,2015/11/18,VALU,0.021516055
5,2015/11/19,VALU,0.07422377
6,2015/11/20,VALU,0.10794327
7,2015/11/23,VALU,0.024418496
8,2015/11/24,VALU,0.008110287
9,2015/11/25,VALU,0.063660055
10,2015/11/27,VALU,0.07349778
11,2015/11/30,VALU,0.12973922
12,2015/12/1,VALU,0.061207976
13,2015/12/2,VALU,0.047229405
14,2015/12/3,VALU,0.067053534
15,2015/12/4,VALU,0.04259645
16,2015/12/7,VALU,0.10381486
17,2015/12/8,VALU,0.0011852224
18,2015/12/9,VALU,0.13950111
19,2015/12/10,VALU,0.08842264
20,2015/12/11,VALU,0.16672762
21,2015/12/14,VALU,0.12691319
22,2015/12/15,VALU,0.02794571
23,2015/12/16,VALU,0.104456596
24,2015/12/17,VALU,0.099637926
25,2015/12/18,VALU,0.068876535
26,2015/12/21,VALU,0.009828904
27,2015/12/22,VALU,0.08213031
28,2015/12/23,VALU,0.0046588057
29,2015/12/24,VALU,0.039458256
30,2015/12/28,VALU,0.16202162
31,2015/12/29,VALU,0.041130453
32,2015/12/30,VALU,0.06463966
33,2015/12/31,VALU,0.10068037
34,2016/1/4,VALU,0.13883021
35,2016/1/5,VALU,0.06482849
36,2016/1/6,VALU,0.049899045
37,2016/1/7,VALU,0.18002369
38,2016/1/8,VALU,0.0048014517
39,2016/1/11,VALU,0.10795104
40,2016/1/12,VALU,0.09851988
41,2016/1/13,VALU,0.14599888
42,2016/1/14,VALU,0.05988271
43,2016/1/15,VALU,0.14787532
44,2016/1/19,VALU,0.08674289
45,2016/1/20,VALU,0.1438948
46,2016/1/21,VALU,0.10586868
47,2016/1/22,VALU,0.07359317
48,2016/1/25,VALU,0.067310244
49,2016/1/26,VALU,0.06174647
50,2016/1/27,VALU,0.011351586
51,2016/1/28,VALU,0.074540615
52,2016/1/29,VALU,0.038371712
53,2016/2/1,VALU,0.12752578
54,2016/2/2,VALU,0.0035812997
55,2016/2/3,VALU,0.022882447
56,2016/2/4,VALU,0.014373451
57,2016/2/5,VALU,0.124922104
58,2016/2/8,VALU,0.0771676
59,2016/2/9,VALU,0.16803372
60,2016/2/10,VALU,0.06613652
61,2016/2/11,VALU,0.023311762
62,2016/2/12,VALU,0.11478956
63,2016/2/16,VALU,0.01562227
64,2016/2/17,VALU,0.015061542
65,2016/2/18,VALU,0.064611636
66,2016/2/19,VALU,0.12450789
67,2016/2/22,VALU,0.069994345
68,2016/2/23,VALU,0.044520296
69,2016/2/24,VALU,0.0062066903
70,2016/2/25,VALU,0.0810462
71,2016/2/26,VALU,0.08775064
72,2016/2/29,VALU,0.060478322
73,2016/3/1,VALU,0.08994291
74,2016/3/2,VALU,0.125879
75,2016/3/3,VALU,0.023137372
76,2016/3/4,VALU,0.03980151
77,2016/3/7,VALU,0.035830945
78,2016/3/8,VALU,0.07156883
79,2016/3/9,VALU,0.11215425
80,2016/3/10,VALU,0.20367183
81,2016/3/11,VALU,0.13892241
82,2016/3/14,VALU,0.0048488853
83,2016/3/15,VALU,0.0023570368
84,2016/3/16,VALU,0.017066807
85,2016/3/17,VALU,0.00651684
86,2016/3/18,VALU,0.05761202
87,2016/3/21,VALU,0.02488967
88,2016/3/22,VALU,0.07780228
89,2016/3/23,VALU,0.120193124
90,2016/3/24,VALU,0.06707508
